name,Club,age,position,fpl_value,market_value,fpl_points,position_cat,new_foreign,age_cat,club_id,big_club,new_signing,page_views,region,nationality,fpl_sel
Ben Davies,Tottenham,24,LB,5.5,12,90,3,0,2,17,1,0,396,2,Wales,0.04
Danny Rose,Tottenham,27,LB,6.5,28,84,3,0,3,17,1,0,848,1,England,0.02
Mousa Dembele,Tottenham,30,CM,5,18,76,2,0,4,17,1,0,1161,2,Belgium,0.01
Vincent Janssen,Tottenham,23,CF,7.5,13,55,1,0,2,17,1,1,1135,2,Netherlands,0.02
Kieran Trippier,Tottenham,26,RB,5.5,10,51,3,0,3,17,1,0,525,1,England,0.00
Moussa Sissokho,Tottenham,27,CM,5.5,20,43,2,0,3,17,1,1,1162,2,France,0.17
Harry Winks,Tottenham,21,CM,5,4,30,2,0,1,17,1,0,806,1,England,0.00
Erik Lamela,Tottenham,25,RW,6.5,25,28,1,0,3,17,1,0,672,3,Argentina,0.00
Michel Vorm,Tottenham,33,GK,5,4,17,4,0,5,17,1,0,252,2,Netherlands,0.00
Georges-Kevin N%27Koudou,Tottenham,22,LW,5.5,7,8,1,0,2,17,1,1,510,2,France,0.00
Kevin Wimmer,Tottenham,24,CB,4.5,7,2,3,0,2,17,1,0,355,2,Austria,0.00
Ã‰tienne Capoue,Watford,29,DM,5.5,9,131,2,0,4,18,0,0,412,2,France,0.00
Troy Deeney,Watford,29,CF,6.5,11,130,1,0,4,18,0,0,1141,1,England,0.08
Heurelho Gomes,Watford,36,GK,4.5,1,113,4,0,6,18,0,0,439,3,Brazil,0.03
Jose Holebas,Watford,33,LB,5,2,87,3,0,5,18,0,0,345,2,Greece,0.02
Miguel Britos,Watford,32,CB,4.5,3.5,71,3,0,5,18,0,0,131,3,Uruguay,0.01
Sebastian Prodl,Watford,30,CB,4.5,4,67,3,0,4,18,0,0,169,2,Austria,0.01
Nordin Amrabat,Watford,30,LW,5,4.5,65,1,0,4,18,0,0,295,4,Morocco,0.01
YounÃ¨s Kaboul,Watford,31,CB,4.5,2.5,57,3,0,4,18,0,1,263,2,France,0.00
Tom Cleverley,Watford,27,CM,5,8,55,2,0,3,18,0,0,703,1,England,0.00
Daryl Janmaat,Watford,27,RB,5,7,50,3,0,3,18,0,1,242,2,Netherlands,0.00
Valon Behrami,Watford,32,DM,4.5,2.5,48,2,0,5,18,0,0,237,2,Switzerland,0.00
Roberto Pereyra,Watford,26,AM,6,15,43,1,0,3,18,0,1,398,3,Argentina,0.00
Stefano Okaka,Watford,27,CF,5.5,6,43,1,0,3,18,0,1,708,2,Italy,0.00
Abdoulaye Doucoure,Watford,24,CM,5,6,38,2,0,2,18,0,0,124,2,France,0.00
Kabasele,Watford,26,CB,4.5,5.5,35,3,0,3,18,0,1,177,2,Belgium,0.00
Craig Cathcart,Watford,28,CB,4.5,4,31,3,0,4,18,0,0,128,2,Northern Ireland,0.00
Isaac Success,Watford,21,LW,5.5,4,28,1,0,1,18,0,1,474,4,Nigeria,0.00
Adrian Mariappa,Watford,30,CB,4,1,15,3,0,4,18,0,1,201,3,Jamaica,0.00
Nathaniel Chalobah,Watford,22,DM,4.5,5,12,2,0,2,18,0,0,977,1,England,0.05
Mauro Zarate,Watford,30,SS,5.5,2,8,1,0,4,18,0,0,473,3,Argentina,0.02
Costel Pantilimon,Watford,30,GK,4.5,3,2,4,0,4,18,0,0,268,2,Romania,0.00
Kiko Femenia,Watford,26,RB,4.5,4,0,3,1,3,18,0,0,74,2,Spain,0.00
Steven Berghuis,Watford,25,RW,5,5.5,0,1,0,3,18,0,0,164,2,Netherlands,0.00
Will Hughes,Watford,22,CM,5,8,0,2,1,2,18,0,0,258,1,England,0.00
Gareth McAuley,WestBrom,37,CB,5,1,131,3,0,6,19,0,0,458,2,Northern Ireland,0.01
Salomon Rondon,WestBrom,27,CF,6.5,15,118,1,0,3,19,0,0,502,3,Venezuela,0.12
Matt Phillips,WestBrom,26,RW,6,9,115,1,0,3,19,0,1,454,2,Scotland,0.02
Ben Foster,WestBrom,34,GK,4.5,4,113,4,0,6,19,0,0,484,1,England,0.06
Nacer Chadli,WestBrom,27,LW,6,15,110,1,0,3,19,0,1,570,2,Belgium,0.21
Craig Dawson,WestBrom,27,RB,5,6,102,3,0,3,19,0,0,215,1,England,0.02
Chris Brunt,WestBrom,32,LM,5.5,4,99,2,0,5,19,0,0,242,2,Northern Ireland,0.06
James Morrison,WestBrom,31,CM,5.5,5,84,2,0,4,19,0,0,238,2,Scotland,0.01
Jonny Evans,WestBrom,29,CB,5,7,79,3,0,4,19,0,0,375,2,Northern Ireland,0.00
Jake Livermore,WestBrom,27,DM,5,7,77,2,0,3,19,0,0,564,1,England,0.02
Allan Nyom,WestBrom,29,RB,5,4.5,74,3,0,4,19,0,1,236,4,Cameroon,0.00
Jay Rodriguez,WestBrom,27,CF,6,10,73,1,0,3,19,0,0,472,1,England,0.00
Claudio Yacob,WestBrom,30,DM,4.5,4,54,2,0,4,19,0,0,165,3,Argentina,0.03
James McClean,WestBrom,28,LW,5,3,52,1,0,4,19,0,0,454,2,Ireland,0.00
Hal Robson-Kanu,WestBrom,28,LW,5,2.5,52,1,0,4,19,0,1,766,2,Wales,0.00
Jonathan Leko,WestBrom,18,RW,4.5,1.5,12,1,0,1,19,0,0,169,1,England,0.01
Sam Field,WestBrom,19,CM,4.5,0.25,9,2,0,1,19,0,0,15,1,England,0.00
Boaz Myhill,WestBrom,34,GK,4,1.5,0,4,0,6,19,0,0,100,2,Wales,0.00
Ahmed Hegazy,WestBrom,26,CB,4.5,1,0,3,1,3,19,0,0,82,4,Egypt,0.05
Robert Snodgrass,WestHam,29,RW,6,8,133,1,0,4,20,0,0,1210,2,Scotland,0.01
Manuel Lanzini,WestHam,24,AM,7,15,133,1,0,2,20,0,0,493,3,Argentina,0.07
Michail Antonio,WestHam,27,RW,7.5,18,132,1,0,3,20,0,0,1142,1,England,0.07
Winston Reid,WestHam,29,CB,5,10,102,3,0,4,20,0,0,338,4,New Zealand,0.01
Jose Fonte,WestHam,33,CB,5,7,98,3,0,5,20,0,1,867,2,Portugal,0.00
Andre Ayew,WestHam,27,LW,7,18,89,1,0,3,20,0,1,845,4,Ghana,0.02
Cheikhou Kouyate,WestHam,27,DM,5,12,79,2,0,3,20,0,0,284,4,Senegal,0.03
Mark Noble,WestHam,30,CM,5.5,7,71,2,0,4,20,0,0,425,1,England,0.00
Darren Randolph,WestHam,30,GK,4.5,2.5,69,4,0,4,20,0,0,459,2,Ireland,0.00
James Collins,WestHam,33,CB,4.5,2,69,3,0,5,20,0,0,187,2,Wales,0.00
Andy Carroll,WestHam,28,CF,6,10,69,1,0,4,20,0,0,1212,1,England,0.01
Adrian,WestHam,30,GK,4.5,8,64,4,0,4,20,0,0,266,2,Spain,0.00
Aaron Cresswell,WestHam,27,LB,5,12,60,3,0,3,20,0,0,380,1,England,0.01
Pedro Obiang,WestHam,25,CM,4.5,9,55,2,0,3,20,0,0,286,2,Spain,0.01
Sofiane Feghouli,WestHam,27,RW,5.5,12,55,1,0,3,20,0,1,394,4,Algeria,0.00
Angelo Ogbonna,WestHam,29,CB,4.5,9,45,3,0,4,20,0,0,247,2,Italy,0.00
Pablo Zabaleta,WestHam,32,RB,5,7,45,3,0,5,20,0,0,698,3,Argentina,0.01
Edimilson Fernandes,WestHam,21,CM,4.5,5,38,2,0,1,20,0,1,288,2,Switzerland,0.03
Arthur Masuaku,WestHam,23,LB,4.5,7,34,3,0,2,20,0,1,199,4,Congo DR,0.00
Sam Byram,WestHam,23,RB,4.5,4.5,29,3,0,2,20,0,0,198,1,England,0.00
Ashley Fletcher,WestHam,21,CF,4.5,1,16,1,0,1,20,0,1,412,1,England,0.00
Diafra Sakho,WestHam,27,CF,5.5,10,12,1,0,3,20,0,0,214,4,Senegal,0.06
,,,,,,,,,,,,,,,,0.00
